Student_ID,Age,Gender,Region,Subject,App_Login_Count,Video_Completion_Rate,Study_Hours_Per_Week,Percentage,Engagement_Level,Engagement_Score,Risk_Reason
S12589,20,Male,Mansoura,Math,13,66.07,7.1,56.37,Low,41.65,Low engagement and below-average academic performance
S12593,15,Female,Cairo,English,17,51.53,12.6,62.66,Low,38.77,Low engagement and below-average academic performance
S12595,16,Male,Giza,Arabic,14,54.63,6.65,63.69,Low,37.42,Low engagement and below-average academic performance
S12597,21,Male,Aswan,Arabic,17,28.34,5.72,52.81,Low,28.34,Low engagement and below-average academic performance
S12600,15,Male,Cairo,Math,17,64.77,9.57,80.2,Low,44.73,Low engagement and below-average academic performance
S12601,17,Male,Alexandria,English,20,53.58,6.74,78.95,Low,42.44,Low engagement and below-average academic performance
S12603,18,Male,Alexandria,Computer Science,14,68.47,11.01,60.98,Low,43.64,Low engagement and below-average academic performance
S12605,16,Male,Alexandria,English,11,30.08,7.1,61.68,Low,23.62,Low engagement and below-average academic performance
S12612,19,Female,Cairo,Math,16,37.35,10.57,62.97,Low,31.47,Low engagement and below-average academic performance
S12622,17,Female,Cairo,English,14,60.47,10.02,73.19,Low,40.04,Low engagement and below-average academic performance
S12623,17,Female,Alexandria,Science,20,52.17,8.59,74.77,Low,41.81,Low engagement and below-average academic performance
S12627,15,Male,Giza,English,14,48.31,9.08,67.7,Low,34.57,Low engagement and below-average academic performance
S12628,15,Female,Assiut,Arabic,11,51.27,8.35,75.53,Low,33.15,Low engagement and below-average academic performance
S12631,18,Female,Cairo,Computer Science,14,47.99,8.35,75.66,Low,34.43,Low engagement and below-average academic performance
S12635,17,Female,Cairo,Math,19,60.64,6.33,69.0,Low,44.7,Low engagement and below-average academic performance
S12639,21,Male,Mansoura,Computer Science,18,50.63,11.88,76.52,Low,39.28,Low engagement and below-average academic performance
S12641,22,Male,Cairo,Arabic,10,49.64,10.92,74.68,Low,31.5,Low engagement and below-average academic performance
S12642,22,Female,Aswan,Arabic,15,69.32,9.92,68.77,Low,44.94,Low engagement and below-average academic performance
S12643,19,Female,Aswan,English,22,5.0,10.28,63.32,Low,22.42,Low engagement and below-average academic performance
S12646,18,Male,Alexandria,Computer Science,20,12.58,8.5,69.69,Low,23.99,Low engagement and below-average academic performance
S12649,16,Male,Aswan,Science,14,71.43,8.18,76.54,Low,44.98,Low engagement and below-average academic performance
S12651,15,Female,Mansoura,Math,16,44.11,11.43,73.15,Low,34.52,Low engagement and below-average academic performance
S12654,15,Male,Cairo,Arabic,19,55.77,7.89,74.8,Low,42.51,Low engagement and below-average academic performance
S12655,22,Male,Giza,Arabic,13,40.31,14.19,75.12,Low,30.06,Low engagement and below-average academic performance
S12663,15,Female,Alexandria,English,21,36.66,11.32,66.82,Low,35.75,Low engagement and below-average academic performance
S12668,22,Female,Alexandria,Math,16,63.21,6.82,75.82,Low,43.11,Low engagement and below-average academic performance
S12672,17,Female,Giza,Computer Science,14,47.85,7.12,74.36,Low,34.37,Low engagement and below-average academic performance
S12673,18,Female,Cairo,Math,13,45.88,8.88,80.17,Low,32.56,Low engagement and below-average academic performance
S12674,21,Female,Alexandria,Arabic,19,51.33,11.3,79.05,Low,40.52,Low engagement and below-average academic performance
S12676,19,Female,Assiut,Math,17,54.88,13.2,76.28,Low,40.28,Low engagement and below-average academic performance
S12680,19,Male,Alexandria,Arabic,12,65.6,9.01,80.06,Low,40.52,Low engagement and below-average academic performance
S12684,22,Male,Giza,Science,17,62.6,9.62,73.74,Low,43.75,Low engagement and below-average academic performance
S12685,15,Female,Giza,English,23,48.23,14.35,75.95,Low,42.79,Low engagement and below-average academic performance
S12686,17,Male,Mansoura,Science,15,40.99,6.15,63.54,Low,32.2,Low engagement and below-average academic performance
S12688,20,Female,Cairo,Math,17,64.16,11.66,79.06,Low,44.46,Low engagement and below-average academic performance
S12690,20,Female,Alexandria,Math,24,49.5,10.54,78.06,Low,44.28,Low engagement and below-average academic performance
S12692,22,Male,Aswan,Science,16,56.06,10.26,66.39,Low,39.89,Low engagement and below-average academic performance
S12703,15,Male,Mansoura,Computer Science,21,51.92,5.19,63.89,Low,42.61,Low engagement and below-average academic performance
S12706,15,Male,Mansoura,Science,21,56.83,3.02,77.67,Low,44.82,Low engagement and below-average academic performance
S12713,19,Female,Alexandria,Math,17,59.61,5.26,57.0,Low,42.41,Low engagement and below-average academic performance
S12716,17,Male,Cairo,Computer Science,10,72.88,5.9,75.13,Low,41.96,Low engagement and below-average academic performance
S12717,19,Female,Alexandria,Computer Science,16,52.13,5.47,64.9,Low,38.13,Low engagement and below-average academic performance
S12720,21,Female,Alexandria,Math,17,36.95,10.17,78.41,Low,32.21,Low engagement and below-average academic performance
S12730,19,Male,Cairo,Math,11,57.28,9.11,70.85,Low,35.86,Low engagement and below-average academic performance
S12731,22,Male,Giza,Math,11,56.8,10.63,72.17,Low,35.64,Low engagement and below-average academic performance
S12734,18,Female,Mansoura,English,11,70.71,7.09,72.03,Low,41.9,Low engagement and below-average academic performance
S12746,20,Male,Assiut,Math,19,49.07,11.48,73.59,Low,39.5,Low engagement and below-average academic performance
S12748,22,Male,Aswan,Science,18,57.83,6.99,68.05,Low,42.52,Low engagement and below-average academic performance
S12751,18,Male,Mansoura,Science,15,48.75,6.63,63.98,Low,35.69,Low engagement and below-average academic performance
S12754,18,Female,Alexandria,Arabic,15,54.64,11.85,69.93,Low,38.34,Low engagement and below-average academic performance
S12755,15,Male,Alexandria,Arabic,14,70.91,7.64,76.75,Low,44.74,Low engagement and below-average academic performance
S12757,18,Female,Assiut,Computer Science,18,44.75,7.46,68.31,Low,36.64,Low engagement and below-average academic performance
S12761,15,Male,Aswan,English,18,43.34,6.9,70.05,Low,36.0,Low engagement and below-average academic performance
S12765,20,Female,Assiut,Computer Science,12,62.43,10.23,64.4,Low,39.09,Low engagement and below-average academic performance
S12767,21,Female,Assiut,Computer Science,15,50.52,5.33,63.39,Low,36.48,Low engagement and below-average academic performance
S12771,20,Female,Alexandria,Arabic,17,36.48,6.71,65.55,Low,32.0,Low engagement and below-average academic performance
S12774,20,Female,Mansoura,Arabic,12,74.21,6.49,67.58,Low,44.39,Low engagement and below-average academic performance
S12778,19,Male,Cairo,Arabic,15,45.94,13.26,77.94,Low,34.42,Low engagement and below-average academic performance
S12779,17,Female,Assiut,Math,19,57.93,11.65,75.49,Low,43.49,Low engagement and below-average academic performance
S12780,22,Female,Assiut,Science,13,40.47,4.79,60.46,Low,30.13,Low engagement and below-average academic performance
S12781,20,Female,Aswan,Computer Science,14,23.28,9.52,60.96,Low,23.31,Low engagement and below-average academic performance
S12784,21,Male,Alexandria,English,14,68.28,7.89,79.7,Low,43.56,Low engagement and below-average academic performance
S12786,22,Female,Giza,Math,13,48.89,8.02,68.92,Low,33.92,Low engagement and below-average academic performance
S12788,19,Female,Alexandria,Science,18,63.16,10.69,76.06,Low,44.92,Low engagement and below-average academic performance
S12791,16,Female,Assiut,Math,15,49.3,10.1,72.31,Low,35.94,Low engagement and below-average academic performance
S12793,19,Female,Cairo,Arabic,14,49.84,5.47,76.88,Low,35.26,Low engagement and below-average academic performance
S12795,17,Female,Cairo,Math,14,54.81,4.15,65.64,Low,37.5,Low engagement and below-average academic performance
S12801,18,Male,Aswan,Math,12,67.13,6.06,63.77,Low,41.21,Low engagement and below-average academic performance
S12803,21,Female,Alexandria,Science,8,67.45,7.54,49.19,Low,37.69,Low engagement and below-average academic performance
S12806,20,Female,Aswan,Science,21,27.46,8.42,62.56,Low,31.61,Low engagement and below-average academic performance
S12809,16,Female,Cairo,Science,10,57.0,4.65,75.35,Low,34.82,Low engagement and below-average academic performance
S12810,21,Female,Cairo,Science,11,50.43,11.62,73.07,Low,32.78,Low engagement and below-average academic performance
S12813,21,Male,Giza,Arabic,16,64.22,4.24,61.62,Low,43.57,Low engagement and below-average academic performance
S12815,20,Female,Cairo,Science,14,44.28,6.67,64.35,Low,32.76,Low engagement and below-average academic performance
S12816,19,Female,Giza,Arabic,25,46.13,9.23,67.42,Low,43.68,Low engagement and below-average academic performance
S12819,17,Female,Mansoura,Math,18,39.48,8.16,67.36,Low,34.27,Low engagement and below-average academic performance
S12820,20,Female,Giza,Computer Science,14,65.45,12.77,77.72,Low,42.29,Low engagement and below-average academic performance
S12821,22,Female,Cairo,Arabic,12,64.78,6.32,77.16,Low,40.15,Low engagement and below-average academic performance
S12825,22,Male,Giza,English,15,53.97,9.33,78.29,Low,38.04,Low engagement and below-average academic performance
S12826,22,Female,Assiut,Computer Science,17,53.31,11.93,75.48,Low,39.57,Low engagement and below-average academic performance
S12833,21,Female,Aswan,Science,11,68.1,13.11,80.46,Low,40.73,Low engagement and below-average academic performance
S12841,22,Female,Alexandria,Computer Science,17,47.46,7.9,68.52,Low,36.94,Low engagement and below-average academic performance
S12851,21,Male,Giza,Computer Science,9,66.62,6.71,76.91,Low,38.23,Low engagement and below-average academic performance
S12854,20,Female,Mansoura,Science,19,50.43,5.43,69.9,Low,40.11,Low engagement and below-average academic performance
S12857,22,Female,Cairo,Arabic,23,52.09,7.89,76.4,Low,44.52,Low engagement and below-average academic performance
S12858,18,Female,Giza,English,19,33.44,13.12,76.7,Low,32.46,Low engagement and below-average academic performance
S12859,22,Male,Alexandria,Science,13,45.65,7.64,63.47,Low,32.46,Low engagement and below-average academic performance
S12860,19,Female,Alexandria,Science,15,55.45,5.2,71.24,Low,38.7,Low engagement and below-average academic performance
S12864,22,Female,Alexandria,English,16,28.02,11.12,75.69,Low,27.28,Low engagement and below-average academic performance
S12865,17,Female,Cairo,Computer Science,17,59.6,2.78,73.75,Low,42.4,Low engagement and below-average academic performance
S12866,18,Female,Cairo,Math,19,31.23,9.89,78.55,Low,31.47,Low engagement and below-average academic performance
S12868,21,Male,Cairo,Computer Science,11,62.75,3.86,77.22,Low,38.32,Low engagement and below-average academic performance
S12870,22,Male,Assiut,Arabic,16,56.39,9.28,69.15,Low,40.04,Low engagement and below-average academic performance
S12872,17,Female,Giza,Computer Science,11,36.64,11.8,72.4,Low,26.57,Low engagement and below-average academic performance
S12876,19,Female,Giza,English,18,50.86,7.3,61.38,Low,39.39,Low engagement and below-average academic performance
S12879,19,Female,Cairo,Math,17,46.3,7.91,63.41,Low,36.42,Low engagement and below-average academic performance
S12880,15,Male,Cairo,Arabic,15,42.63,4.36,73.4,Low,32.93,Low engagement and below-average academic performance
S12892,16,Female,Assiut,Math,9,76.74,3.91,40.01,Low,42.78,Low engagement and below-average academic performance
S12895,22,Male,Cairo,Computer Science,17,54.65,4.32,80.83,Low,40.18,Low engagement and below-average academic performance
S12896,20,Female,Cairo,Math,14,32.26,5.08,55.02,Low,27.35,Low engagement and below-average academic performance
S12901,18,Female,Giza,English,11,39.68,7.49,64.99,Low,27.94,Low engagement and below-average academic performance
S12904,22,Female,Cairo,Science,16,53.24,4.97,55.16,Low,38.62,Low engagement and below-average academic performance
S12905,16,Male,Giza,Math,10,54.05,7.83,75.25,Low,33.49,Low engagement and below-average academic performance
S12909,20,Female,Mansoura,Math,13,59.31,10.12,78.39,Low,38.61,Low engagement and below-average academic performance
S12912,16,Male,Cairo,Computer Science,16,55.22,8.75,79.34,Low,39.52,Low engagement and below-average academic performance
S12913,19,Male,Mansoura,English,19,38.79,9.34,62.31,Low,34.87,Low engagement and below-average academic performance
S12914,21,Female,Mansoura,Computer Science,20,30.9,7.99,78.13,Low,32.24,Low engagement and below-average academic performance
S12916,19,Male,Cairo,Math,19,52.09,4.74,65.5,Low,40.86,Low engagement and below-average academic performance
S12920,21,Male,Cairo,Computer Science,16,56.0,10.13,77.65,Low,39.87,Low engagement and below-average academic performance
S12928,22,Female,Giza,Math,12,59.28,9.28,69.91,Low,37.68,Low engagement and below-average academic performance
S12932,21,Male,Giza,Arabic,15,36.26,9.34,69.46,Low,30.07,Low engagement and below-average academic performance
S12940,20,Male,Mansoura,Math,16,63.98,6.71,74.49,Low,43.46,Low engagement and below-average academic performance
S12941,19,Male,Alexandria,Arabic,17,38.1,13.54,76.1,Low,32.73,Low engagement and below-average academic performance
S12948,17,Male,Aswan,English,19,43.34,10.18,77.99,Low,36.92,Low engagement and below-average academic performance
S12950,19,Female,Giza,Computer Science,11,55.56,9.05,73.43,Low,35.09,Low engagement and below-average academic performance
S12951,18,Female,Assiut,Math,15,19.73,9.36,49.2,Low,22.63,Low engagement and below-average academic performance
S12952,19,Female,Assiut,Computer Science,23,51.39,10.99,78.69,Low,44.21,Low engagement and below-average academic performance
S12954,20,Male,Assiut,Arabic,17,32.99,5.85,61.74,Low,30.43,Low engagement and below-average academic performance
S12960,22,Female,Cairo,Science,14,61.65,5.51,76.19,Low,40.58,Low engagement and below-average academic performance
S12963,18,Female,Cairo,Math,16,66.83,5.4,67.59,Low,44.74,Low engagement and below-average academic performance
S12966,21,Male,Cairo,Computer Science,12,29.61,7.01,63.2,Low,24.32,Low engagement and below-average academic performance
S12969,18,Female,Cairo,Science,20,40.8,13.76,76.59,Low,36.69,Low engagement and below-average academic performance
S12978,17,Female,Assiut,English,17,49.23,7.74,69.95,Low,37.74,Low engagement and below-average academic performance
S12981,20,Female,Alexandria,English,15,42.35,7.84,79.22,Low,32.81,Low engagement and below-average academic performance
S12982,15,Female,Giza,English,13,28.51,4.77,47.49,Low,24.75,Low engagement and below-average academic performance
S12984,18,Male,Giza,English,23,45.4,11.72,77.52,Low,41.51,Low engagement and below-average academic performance
S12992,21,Female,Assiut,English,18,59.99,9.23,71.1,Low,43.5,Low engagement and below-average academic performance
S12999,16,Female,Cairo,Arabic,21,44.31,9.42,73.19,Low,39.19,Low engagement and below-average academic performance
S13005,16,Female,Aswan,Computer Science,19,58.17,6.42,70.03,Low,43.59,Low engagement and below-average academic performance
S13010,20,Male,Assiut,Math,13,57.53,7.44,49.49,Low,37.81,Low engagement and below-average academic performance
S13011,16,Female,Mansoura,Arabic,14,66.23,7.65,77.57,Low,42.64,Low engagement and below-average academic performance
S13013,20,Male,Alexandria,English,16,26.82,7.1,66.22,Low,26.74,Low engagement and below-average academic performance
S13017,17,Male,Cairo,Arabic,12,61.74,8.21,64.05,Low,38.78,Low engagement and below-average academic performance
S13022,21,Male,Cairo,Math,16,59.91,7.44,72.12,Low,41.63,Low engagement and below-average academic performance
S13023,15,Female,Mansoura,Arabic,19,41.74,10.37,78.07,Low,36.2,Low engagement and below-average academic performance
S13027,21,Female,Mansoura,Science,11,41.9,6.77,62.15,Low,28.94,Low engagement and below-average academic performance
S13029,21,Female,Assiut,Science,23,49.6,12.05,79.01,Low,43.4,Low engagement and below-average academic performance
S13030,22,Female,Aswan,English,20,45.56,10.43,67.45,Low,38.84,Low engagement and below-average academic performance
S13031,18,Female,Alexandria,Math,15,57.63,9.63,73.05,Low,39.68,Low engagement and below-average academic performance
S13036,16,Male,Alexandria,Math,18,43.56,7.2,75.08,Low,36.1,Low engagement and below-average academic performance
S13040,18,Female,Assiut,Science,13,65.25,9.8,75.78,Low,41.28,Low engagement and below-average academic performance
S13044,20,Female,Mansoura,English,16,48.05,4.64,55.35,Low,36.29,Low engagement and below-average academic performance
S13051,17,Female,Giza,Math,15,57.99,10.13,78.32,Low,39.85,Low engagement and below-average academic performance
S13054,16,Female,Giza,Science,15,67.86,11.43,66.96,Low,44.29,Low engagement and below-average academic performance
S13055,22,Female,Mansoura,Computer Science,18,59.61,5.89,69.97,Low,43.32,Low engagement and below-average academic performance
S13058,20,Male,Giza,English,11,40.92,4.75,57.75,Low,28.5,Low engagement and below-average academic performance
S13059,17,Female,Cairo,English,19,45.46,7.85,75.79,Low,37.87,Low engagement and below-average academic performance
S13066,17,Male,Alexandria,English,13,72.61,4.87,70.53,Low,44.59,Low engagement and below-average academic performance
S13069,19,Male,Alexandria,English,17,52.1,8.05,69.31,Low,39.03,Low engagement and below-average academic performance
S13074,22,Female,Alexandria,Arabic,15,49.31,5.75,58.3,Low,35.94,Low engagement and below-average academic performance
S13077,15,Female,Cairo,Arabic,22,42.38,8.51,74.34,Low,39.24,Low engagement and below-average academic performance
S13079,18,Male,Cairo,Science,13,30.44,5.1,57.21,Low,25.61,Low engagement and below-average academic performance
S13081,18,Female,Giza,Arabic,20,46.97,7.46,74.35,Low,39.47,Low engagement and below-average academic performance
S13084,21,Female,Aswan,English,18,36.63,10.56,72.58,Low,32.98,Low engagement and below-average academic performance
S13088,17,Male,Mansoura,Computer Science,14,61.32,6.75,60.47,Low,40.43,Low engagement and below-average academic performance
S13089,18,Male,Giza,Science,19,52.72,6.36,57.28,Low,41.14,Low engagement and below-average academic performance
S13090,18,Female,Cairo,Math,15,51.88,9.29,61.07,Low,37.1,Low engagement and below-average academic performance
S13096,20,Male,Giza,Computer Science,15,61.49,7.26,65.81,Low,41.42,Low engagement and below-average academic performance
S13102,18,Male,Cairo,English,21,40.2,5.86,52.91,Low,37.34,Low engagement and below-average academic performance
S13107,19,Male,Assiut,Arabic,17,48.7,7.96,54.61,Low,37.5,Low engagement and below-average academic performance
S13112,19,Female,Alexandria,Science,25,44.55,6.18,80.1,Low,42.96,Low engagement and below-average academic performance
S13113,16,Female,Alexandria,Math,20,55.23,11.27,75.37,Low,43.19,Low engagement and below-average academic performance
S13114,18,Male,Alexandria,Math,20,55.13,5.28,53.47,Low,43.14,Low engagement and below-average academic performance
S13116,21,Female,Mansoura,Arabic,16,54.11,3.86,69.82,Low,39.02,Low engagement and below-average academic performance
S13118,21,Male,Cairo,Math,18,43.16,8.23,69.12,Low,35.92,Low engagement and below-average academic performance
S13119,17,Male,Alexandria,Arabic,17,60.74,7.52,75.76,Low,42.92,Low engagement and below-average academic performance
S13123,16,Female,Mansoura,Science,16,45.73,11.43,69.21,Low,35.25,Low engagement and below-average academic performance
S13124,17,Female,Assiut,Arabic,17,50.82,10.15,77.19,Low,38.45,Low engagement and below-average academic performance
S13125,22,Female,Alexandria,Science,19,58.36,3.69,63.67,Low,43.68,Low engagement and below-average academic performance
S13126,16,Female,Alexandria,Arabic,10,71.41,11.84,60.29,Low,41.3,Low engagement and below-average academic performance
S13132,16,Male,Cairo,Computer Science,16,45.12,9.74,77.49,Low,34.97,Low engagement and below-average academic performance
S13139,15,Male,Assiut,Science,15,52.89,11.71,71.02,Low,37.55,Low engagement and below-average academic performance
S13142,17,Male,Mansoura,Science,14,70.88,12.72,77.55,Low,44.73,Low engagement and below-average academic performance
S13147,18,Female,Alexandria,English,12,61.89,7.66,66.75,Low,38.85,Low engagement and below-average academic performance
S13154,18,Female,Cairo,Science,15,46.6,11.72,66.24,Low,34.72,Low engagement and below-average academic performance
S13155,19,Male,Alexandria,Science,25,48.63,7.64,76.71,Low,44.8,Low engagement and below-average academic performance
S13163,15,Male,Mansoura,Arabic,16,52.75,8.08,67.39,Low,38.4,Low engagement and below-average academic performance
S13166,15,Male,Mansoura,Math,20,38.96,8.26,75.6,Low,35.87,Low engagement and below-average academic performance
S13171,20,Male,Mansoura,Math,16,49.83,10.12,62.54,Low,37.09,Low engagement and below-average academic performance
S13175,22,Female,Alexandria,Arabic,16,52.73,6.34,68.17,Low,38.4,Low engagement and below-average academic performance
S13176,16,Male,Assiut,Arabic,17,57.6,11.2,78.79,Low,41.5,Low engagement and below-average academic performance
S13181,22,Male,Mansoura,Arabic,19,45.19,8.67,66.28,Low,37.75,Low engagement and below-average academic performance
S13182,19,Female,Alexandria,Math,19,53.34,9.72,74.87,Low,41.42,Low engagement and below-average academic performance
S13185,20,Female,Assiut,English,17,59.99,7.4,55.49,Low,42.58,Low engagement and below-average academic performance
S13187,22,Female,Alexandria,Math,17,33.76,8.64,57.72,Low,30.78,Low engagement and below-average academic performance
S13190,18,Male,Cairo,Math,20,5.0,11.73,80.7,Low,20.58,Low engagement and below-average academic performance
S13193,15,Male,Cairo,Math,22,48.92,15.47,77.51,Low,42.18,Low engagement and below-average academic performance
S13194,20,Female,Cairo,English,19,54.69,6.82,79.51,Low,42.03,Low engagement and below-average academic performance
S13196,17,Female,Giza,Science,10,63.57,11.18,64.43,Low,37.77,Low engagement and below-average academic performance
S13197,15,Female,Mansoura,Science,21,49.86,11.8,64.3,Low,41.69,Low engagement and below-average academic performance
S13199,18,Female,Alexandria,Computer Science,12,59.8,8.2,71.24,Low,37.91,Low engagement and below-average academic performance
S13202,20,Female,Cairo,Science,19,36.93,10.44,67.95,Low,34.04,Low engagement and below-average academic performance
S13205,16,Male,Aswan,Computer Science,11,55.27,7.23,68.65,Low,34.95,Low engagement and below-average academic performance
S13208,15,Female,Alexandria,Arabic,16,57.46,7.53,67.25,Low,40.52,Low engagement and below-average academic performance
S13209,22,Male,Mansoura,Science,15,68.18,9.45,71.72,Low,44.43,Low engagement and below-average academic performance
S13210,15,Male,Giza,Science,13,60.69,10.16,73.89,Low,39.23,Low engagement and below-average academic performance
S13212,21,Female,Aswan,English,17,57.08,5.28,53.61,Low,41.27,Low engagement and below-average academic performance
S13214,16,Male,Assiut,Science,15,38.75,12.94,78.03,Low,31.19,Low engagement and below-average academic performance
S13223,21,Female,Giza,Math,11,58.63,9.09,72.22,Low,36.47,Low engagement and below-average academic performance
S13224,21,Female,Assiut,Arabic,19,21.9,9.5,65.7,Low,27.27,Low engagement and below-average academic performance
S13227,19,Female,Cairo,Math,17,61.71,4.37,70.72,Low,43.35,Low engagement and below-average academic performance
S13230,18,Male,Alexandria,Science,8,73.63,13.9,75.66,Low,40.47,Low engagement and below-average academic performance
S13232,15,Female,Assiut,English,17,60.27,13.23,79.04,Low,42.7,Low engagement and below-average academic performance
S13234,20,Female,Mansoura,English,19,38.83,10.22,57.93,Low,34.89,Low engagement and below-average academic performance
S13238,20,Female,Giza,Computer Science,22,39.36,11.57,73.45,Low,37.88,Low engagement and below-average academic performance
S13242,18,Male,Aswan,Computer Science,19,55.53,7.14,80.72,Low,42.41,Low engagement and below-average academic performance
S13248,21,Female,Assiut,English,13,69.28,14.93,80.19,Low,43.09,Low engagement and below-average academic performance
S13249,15,Male,Cairo,Science,10,54.07,9.47,76.36,Low,33.5,Low engagement and below-average academic performance
S13250,16,Female,Giza,Computer Science,20,52.25,12.05,70.79,Low,41.85,Low engagement and below-average academic performance
S13256,17,Male,Giza,Computer Science,16,66.43,15.17,79.94,Low,44.56,Low engagement and below-average academic performance
S13259,21,Female,Cairo,Computer Science,13,51.39,5.65,76.62,Low,35.04,Low engagement and below-average academic performance
S13260,22,Male,Alexandria,Math,14,67.17,10.36,65.65,Low,43.06,Low engagement and below-average academic performance
S13263,17,Male,Giza,Arabic,16,63.54,9.9,67.79,Low,43.26,Low engagement and below-average academic performance
S13268,22,Male,Cairo,Arabic,15,59.03,8.93,79.57,Low,40.31,Low engagement and below-average academic performance
S13274,21,Female,Mansoura,Math,10,54.67,8.97,71.43,Low,33.77,Low engagement and below-average academic performance
S13276,22,Male,Assiut,Math,15,62.78,9.96,77.99,Low,42.0,Low engagement and below-average academic performance
S13277,21,Female,Alexandria,Computer Science,17,33.25,10.31,77.3,Low,30.55,Low engagement and below-average academic performance
S13278,20,Male,Giza,English,22,45.47,11.33,80.82,Low,40.63,Low engagement and below-average academic performance
S13292,20,Female,Cairo,Math,15,59.66,8.51,80.18,Low,40.6,Low engagement and below-average academic performance
S13297,15,Male,Cairo,Math,18,40.65,5.17,67.77,Low,34.79,Low engagement and below-average academic performance
S13298,20,Male,Assiut,Computer Science,17,60.19,5.17,66.53,Low,42.67,Low engagement and below-average academic performance
S13299,18,Female,Cairo,Computer Science,21,46.05,8.67,80.58,Low,39.97,Low engagement and below-average academic performance
S13302,17,Male,Assiut,Computer Science,17,61.89,11.11,76.94,Low,43.43,Low engagement and below-average academic performance
S13304,17,Male,Mansoura,Arabic,11,38.81,12.19,63.01,Low,27.55,Low engagement and below-average academic performance
S13306,22,Male,Alexandria,Computer Science,14,59.48,8.14,73.9,Low,39.6,Low engagement and below-average academic performance
S13309,19,Female,Aswan,Math,12,71.88,6.55,73.58,Low,43.35,Low engagement and below-average academic performance
S13316,22,Male,Mansoura,English,25,47.22,11.06,76.98,Low,44.17,Low engagement and below-average academic performance
S13320,21,Female,Cairo,Math,11,40.93,9.31,59.32,Low,28.5,Low engagement and below-average academic performance
S13322,18,Female,Assiut,English,15,65.45,9.01,54.4,Low,43.2,Low engagement and below-average academic performance
S13328,20,Male,Assiut,Science,22,41.71,5.21,52.37,Low,38.94,Low engagement and below-average academic performance
S13329,22,Male,Alexandria,Arabic,15,45.64,1.0,73.42,Low,34.29,Low engagement and below-average academic performance
S13334,15,Male,Giza,Computer Science,18,28.43,9.06,63.27,Low,29.29,Low engagement and below-average academic performance
S13337,15,Female,Cairo,Math,17,58.46,5.68,62.28,Low,41.89,Low engagement and below-average academic performance
S13339,16,Male,Assiut,Arabic,11,45.03,8.32,63.64,Low,30.35,Low engagement and below-average academic performance
S13340,17,Male,Mansoura,Math,12,60.02,6.62,68.59,Low,38.01,Low engagement and below-average academic performance
S13342,19,Female,Giza,Computer Science,15,52.29,13.45,80.0,Low,37.28,Low engagement and below-average academic performance
S13349,15,Male,Cairo,English,17,64.88,8.56,79.32,Low,44.78,Low engagement and below-average academic performance
S13354,16,Female,Alexandria,Science,16,36.2,8.1,54.73,Low,30.96,Low engagement and below-average academic performance
S13358,16,Female,Giza,Math,13,25.26,10.32,64.48,Low,23.28,Low engagement and below-average academic performance
S13362,22,Male,Assiut,Math,15,56.39,12.39,79.41,Low,39.13,Low engagement and below-average academic performance
S13365,15,Female,Alexandria,English,22,49.86,8.06,75.41,Low,42.6,Low engagement and below-average academic performance
S13366,21,Male,Aswan,English,25,34.8,7.85,78.23,Low,38.58,Low engagement and below-average academic performance
S13368,18,Male,Giza,Science,20,43.57,7.26,62.48,Low,37.94,Low engagement and below-average academic performance
S13369,19,Male,Alexandria,Arabic,16,59.51,11.49,76.1,Low,41.45,Low engagement and below-average academic performance
S13370,17,Female,Cairo,Arabic,15,37.17,5.36,62.92,Low,30.48,Low engagement and below-average academic performance
S13371,21,Female,Cairo,Science,22,27.44,10.92,69.44,Low,32.51,Low engagement and below-average academic performance
S13372,18,Female,Assiut,Computer Science,8,39.81,7.42,56.22,Low,25.25,Low engagement and below-average academic performance
S13377,19,Female,Alexandria,Arabic,18,53.55,7.7,74.03,Low,40.6,Low engagement and below-average academic performance
S13390,20,Female,Assiut,English,15,65.44,10.2,66.1,Low,43.2,Low engagement and below-average academic performance
S13393,15,Male,Assiut,English,14,59.89,11.06,71.41,Low,39.78,Low engagement and below-average academic performance
S13394,15,Female,Mansoura,Science,17,50.43,8.72,68.35,Low,38.28,Low engagement and below-average academic performance
S13399,22,Male,Cairo,English,15,49.09,13.41,74.34,Low,35.84,Low engagement and below-average academic performance
S13404,16,Male,Aswan,Math,15,57.56,5.11,60.68,Low,39.65,Low engagement and below-average academic performance
S13407,16,Female,Cairo,Arabic,14,38.89,2.9,55.62,Low,30.33,Low engagement and below-average academic performance
S13410,20,Female,Cairo,Arabic,13,40.78,12.34,75.74,Low,30.27,Low engagement and below-average academic performance
S13416,19,Male,Cairo,Computer Science,15,53.31,10.18,69.85,Low,37.74,Low engagement and below-average academic performance
S13417,17,Male,Cairo,English,14,28.76,5.18,58.86,Low,25.78,Low engagement and below-average academic performance
S13421,18,Female,Mansoura,Math,13,60.34,5.35,77.45,Low,39.07,Low engagement and below-average academic performance
S13422,16,Female,Assiut,Arabic,15,56.93,10.71,78.3,Low,39.37,Low engagement and below-average academic performance
S13425,19,Male,Mansoura,Science,12,75.0,9.38,77.11,Low,44.75,Low engagement and below-average academic performance
S13426,19,Female,Cairo,Computer Science,19,55.12,8.96,80.74,Low,42.22,Low engagement and below-average academic performance
S13428,21,Male,Mansoura,Computer Science,18,38.87,7.95,55.3,Low,33.99,Low engagement and below-average academic performance
